"text","true_label","predicted_label"
"Fresh produce is always of high quality here.","polite","neutral"
"I'm checking on the status of your flight. Can you please confirm your flight number and departure date?","somewhat polite","neutral"
"I understand your concern about your child's playing time, but let's focus on the facts - they're still learning the game and need more practice.","somewhat polite","impolite"
"I apologize for the inconvenience, but it seems we're fully booked for the dates you requested. Would you like me to suggest alternative accommodations or check for any last-minute cancellations?","somewhat polite","polite"
"I appreciate your feedback about the camping gear, and I'll make sure to pass it along to our product team.","polite","somewhat polite"
"Prices seem reasonable, but I didn't buy anything.","neutral","impolite"
"I appreciate your interest in our creative skills course, and I'm happy to answer any questions you may have about it.","polite","somewhat polite"
"We can't accommodate your request for a refund because our airline's policy clearly states no refunds are given after the flight has taken off.","impolite","neutral"
"I'm happy to help you with your query about our home decor collection. Can you please provide more details so I can assist you better?","somewhat polite","polite"
"It was an average performance, nothing special.","somewhat polite","neutral"
"I'm not sure what's wrong with you, but the coffee here is fine.","impolite","somewhat polite"
"We're happy to help you with your concerns about our water sports program. Can you please provide more details so we can better assist you?","polite","somewhat polite"
"I'm sorry to hear that your order hasn't arrived yet. Can you please provide me with your order number so I can look into this further?","somewhat polite","neutral"
"I'm sorry to hear that the couch didn't meet your expectations. Can you please provide more details about the issue so I can assist you further?","somewhat polite","neutral"
"We can't provide a refund for your online course, but I can offer you a discount on our next course if you can manage to pass the current one, which is clearly not your thing.","impolite","somewhat polite"
"We can't accommodate your request for a free meal, as our policy clearly states that we don't offer complimentary food to anyone.","impolite","neutral"
"I'm sorry, but it seems you've missed the last check-in for your flight. I guess you'll have to learn to be more punctual next time.","impolite","somewhat polite"
"Your return policy clearly states that items must be returned within 30 days, so unfortunately, you're outside of that window.","neutral","impolite"
"Unfortunately, our courts are still closed for renovations until the end of the summer, so you won't be able to use the tennis facilities as planned. We'll send you a notification once they reopen.","somewhat polite","neutral"
"We offer a variety of courses to help you develop your creative skills, including graphic design, photography, and writing. If you're interested in learning more about our courses, I'd be happy to provide you with more information on pricing and schedules.","polite","neutral"
"Unfortunately, our halal menu options are only available during Ramadan. However, we can still accommodate your dietary preferences with our standard menu items. Would you like me to recommend some options?","neutral","somewhat polite"
"I'm sorry to hear our store is out of your favorite seasonal produce. We're expecting a new shipment next week, but in the meantime, you can try substituting with a similar product from our current stock.","somewhat polite","neutral"
"I'm sorry to hear that you're having trouble finding a suitable play for the upcoming cultural festival. We have a variety of shows lined up, but I'd be happy to help you narrow down some options based on your interests. Can you please let me know what type of performance you're in the mood for?","somewhat polite","polite"
"Certainly, I can assist you with that. Our professional development courses include creative skills programming. The cost for these courses varies, but we do offer discounts for early registration. Let me know if you would like more information.","somewhat polite","neutral"
"Unfortunately, our airline has experienced some technical difficulties, and your flight has been delayed. However, our team is working hard to resolve the issue as soon as possible, and we'll keep you updated on the latest developments.","somewhat polite","neutral"
"I appreciate your concern about the additional fee on your bill. Unfortunately, it's a standard charge for our luxury travel packages, especially during peak season when demand is high. However, I can offer you a complimentary upgrade to a higher-tier package for your next booking, which would waive the fee.","somewhat polite","polite"
"I'm happy to help with your pizza order. Unfortunately, our summer promotion has ended, so you won't be able to get the discounted price you're looking for. However, I can offer you a 10% discount on your next order if you sign up for our rewards program.","polite","somewhat polite"
"I've checked our system, and it seems there was a temporary delay with the bus rental service. Your reservation is still confirmed, and the driver will meet you at the scheduled time.","polite","neutral"
"I'm sorry you're experiencing difficulties with our online course platform. It seems your progress has been interrupted. Let me see what I can do to help you get back on track.","neutral","somewhat polite"
"Unfortunately, it seems that our integration training is taking longer than expected. I can provide you with an estimated completion time and offer assistance in the meantime if needed.","polite","neutral"
"Unfortunately, it seems our recent system update resulted in an unexpected fee being applied to your account. I can look into this further and see what I can do to rectify the situation.","neutral","somewhat polite"
"Unfortunately, our summer reading program is fully booked at the moment, but I can add you to the waitlist and let you know if any spots become available.","neutral","somewhat polite"
"Unfortunately, our design course is already fully booked for the summer, but we can offer you a spot in our fall session. Would you like me to reserve a spot for you?","neutral","somewhat polite"
"I'm sorry to hear that your train ticket has been delayed. Unfortunately, these types of issues are common during peak season and can be caused by a variety of factors. I can offer you a refund or compensation, but you'll need to provide your ticket number and a detailed description of the delay.","neutral","somewhat polite"
"Certainly, I can understand how you might feel confused about the price of that toy. The cost includes not only the toy itself, but also the high-quality materials and careful craftsmanship that go into making it. I hope this helps clarify things for you.","polite","somewhat polite"
"I appreciate you bringing this to our attention, and I'd be happy to help you understand the fees associated with your loan. It seems there may have been an error in our previous communication, and I'm here to clarify things for you. Can you please provide me with more information about your loan, such as the date and amount, so I can look into this further and provide a more detailed explanation?","polite","somewhat polite"
"I appreciate your patience as we check on the status of your order. Unfortunately, it appears there was an issue with our delivery partner, and your items are running a bit behind schedule. We're working to get them to you as soon as possible.","polite","somewhat polite"
"I'm not sure why our court reservation system is showing you as booked for the entire month, but I can try to help you find an available time slot. Can you please check your email for a confirmation message and see if there's any additional information there?","neutral","somewhat polite"
"I'm not sure why our store's website says we have the new Lego set in stock, but when I checked our inventory, it's actually sold out. I can offer you a rain check or let you know when it's back in stock.","neutral","somewhat polite"
"I'd be happy to help you with that. Our store policy is that all sales are final, but I can offer you a store credit for the full amount if you'd like to exchange it for something else.","somewhat polite","polite"
"I'm sorry to hear our store's website isn't showing the correct prices for the toys and games you're looking for. Can you please tell me the exact items you're interested in and I'll check our inventory for you?","neutral","somewhat polite"
"I'm sorry to hear that our store's website isn't showing the correct price for the new smart TV you're interested in. I can check on the availability and prices for you over the phone.","somewhat polite","polite"
"I'm sorry to hear that your kayak rental was cancelled due to bad weather. Our policy states that we offer full refunds for cancelled rentals, so you should be able to get a full refund back to your original payment method.","polite","somewhat polite"
"I understand you're having some trouble with your membership renewal, and I'd be happy to help you work through the process. Can you please confirm your membership details, and I'll do my best to assist you in getting it sorted out for the upcoming semester.","somewhat polite","polite"
"I'd be happy to help you with that. Our winter collection is currently on sale, and I think you might find something you like. Would you like me to show you some options?","somewhat polite","polite"
"I appreciate your patience while we review your account. The fees you're seeing are likely due to our quarterly statement processing, which can sometimes result in additional charges. If you have any questions or concerns, please let me know and I'll do my best to clarify things for you.","somewhat polite","polite"
"I'd be happy to help you with your bootcamp enrollment. We've had some recent updates to our payment processing, which might be causing the discrepancy. Can you please try logging in to your account to see if the issue has resolved itself?","polite","somewhat polite"
"I'd be happy to help you with that sweater. Since it's winter, I can offer you a 20% discount on our clearance section, but you'll need to provide a valid student ID to qualify.","polite","somewhat polite"
"I'd be happy to help you with that! Our halal menu options are designed to cater to customers with dietary restrictions. Can you please let me know which dish you're interested in, and I'll be happy to provide more information on the ingredients used?","polite","somewhat polite"
"I'm not sure why our membership fees are so high for water sports, but I can look into it for you. We have a summer promotion going on, so you might be able to get a discount if you sign up now.","neutral","somewhat polite"
"I'd be happy to help you with that. Our halal menu options are clearly labeled, so you can make an informed choice. If you're unsure about any of the dishes, feel free to ask your server for guidance.","neutral","somewhat polite"
"I appreciate you reaching out about the issue with your sofa. Unfortunately, it's past the return window, but I can offer a 10% discount on your next purchase if you'd like to keep the item.","somewhat polite","polite"
"I'm sorry to hear our store is out of stock on the smartwatch you were looking for. We can offer you a raincheck or check availability at a different location.","somewhat polite","neutral"
"I'm sorry to hear that your flight was delayed due to weather conditions. Unfortunately, we can't control the weather, but we can offer you a voucher for a future flight.","somewhat polite","neutral"
"Certainly, I can understand why you might be confused about the additional charge. It's quite common for there to be fees associated with booking cruises and ferries in advance. I'm here to help, so just let me know if you'd like me to explain in more detail.","somewhat polite","polite"
"Certainly, I can understand if you're looking to improve your soft skills in the realm of professional development. Our courses cover a wide range of topics, including communication, leadership, and teamwork. I would be happy to provide more information if you're interested.","neutral","somewhat polite"
"I'd be happy to help you improve your creative skills, but first, let's check if you've completed the prerequisite courses. If not, I can provide you with a list of recommended resources to get started.","polite","somewhat polite"
"I'm happy to help you with your buffet reservation, but please note that our peak season rates apply from now until the end of summer. If you'd like to book a table, I can provide you with more information on our pricing and availability.","somewhat polite","polite"
"I'd be happy to help you with your vegetarian options! Our menu changes seasonally, but we always have a few delicious choices available. Would you like me to recommend something?","polite","somewhat polite"
"Unfortunately, our summer menu is no longer available, but we're excited to introduce our new fall flavors. Would you like me to recommend something?","polite","somewhat polite"
"It sounds like you're looking to explore some new creative avenues.  We offer a variety of workshops that could be a good fit. Would you like to hear about some options?","somewhat polite","polite"
"I understand you're looking for a budget-friendly option for your summer vacation, but our prices may vary depending on the season. I can offer you a discount if you book within the next 24 hours.","polite","somewhat polite"
"I'd be happy to help you optimize your creative skills, but I do need to clarify that our online course fees are non-refundable once you've started the program. However, we do offer a 30-day money-back guarantee for new students, so if you're not satisfied, we can discuss a potential refund.","polite","somewhat polite"
"As we're currently in the midst of summer, I'd recommend our refreshing summer salads, which are all vegan-friendly. However, if you're looking for something a bit more substantial, our quinoa bowls are also a popular choice among our vegetarian customers.","polite","somewhat polite"
"I'm not sure why our online course materials aren't accessible to you. Can you try clearing your browser cache and see if that resolves the issue?","somewhat polite","neutral"
"Sorry to hear that you're having trouble with your dessert order. Can you please confirm the order number and the issue you're experiencing? I'll do my best to assist you and get it resolved as soon as possible.","polite","somewhat polite"
"I apologize for the inconvenience with your recent flight. Unfortunately, due to the high volume of passengers during the peak summer season, there seems to have been a delay in processing your luggage. We're doing our best to reunite you with your belongings as soon as possible.","somewhat polite","polite"
"I'm sorry to hear you're having trouble finding a tennis court reservation. We're currently in the midst of the summer season, and our courts are quite popular. However, I can offer you some alternatives - have you considered visiting our courts during the early morning or evening hours when they're less crowded?","polite","somewhat polite"
"I'm afraid our summer specials menu has already ended, but we're offering a new seasonal selection that's just as delicious. Would you like me to recommend some options from our current menu?","somewhat polite","neutral"
"I understand you're experiencing some issues with your recent statement. Our records show that the discrepancy is due to a one-time fee for a security update. Would you like me to explain it in more detail?","polite","somewhat polite"
"I'm sorry to hear that you're experiencing issues with your policy's premium increase. Our rates are subject to change based on various market factors, and I can explain the details to you if you'd like.","somewhat polite","neutral"
"Certainly, I can assist you with that. Our policy states that any changes or cancellations must be made at least 24 hours before the scheduled departure time. I trust this clarifies your query.","polite","neutral"
"I'm happy to help you plan your visit to our botanical garden, but I do want to note that our summer hours are in effect until the end of September, and some of our outdoor exhibits may be closed due to maintenance.","neutral","somewhat polite"
"I'm sorry to hear that the dress you ordered is not in stock. Unfortunately, our summer collection has been selling out quickly, but I can offer you a similar style in a different size or color if you'd like.","somewhat polite","neutral"
"I'm sorry to hear that your membership renewal was declined due to unpaid fees. Can you please check your account balance and update your payment information so we can reinstate your membership?","polite","somewhat polite"
"Unfortunately, our courts are closed for renovations until the spring season. I can suggest some alternative indoor facilities in the meantime.","somewhat polite","neutral"
"I'd be happy to help you with your vegetarian options. Our menu changes seasonally, but we always have a few veggie-friendly dishes available. Can you please tell me more about what you're looking for?","somewhat polite","neutral"
"I understand you're looking for a budget-friendly option for your trip, and our economy flights do offer a cost-effective solution. However, please note that prices may vary depending on the time of year and availability, so I recommend checking our website for the latest deals.","polite","somewhat polite"
"The store policy is clear about returns, but I can make an exception this one time since it's a holiday season and you're a loyal customer. Please bring the toy and receipt back, and I'll help you with the exchange.","somewhat polite","neutral"
"I'm sorry to hear that your ferry reservation was cancelled due to bad weather. Unfortunately, our policy states that cancellations are non-refundable, but I can offer you a voucher for a future trip.","somewhat polite","neutral"
"Certainly, for theater events, we have a policy of not providing refunds once the ticket has been purchased. However, if the event is cancelled, we will ensure to notify you and provide a suitable resolution.","somewhat polite","neutral"
"Sorry to hear that you're having trouble with your membership renewal for the upcoming boxing season. Can you please check your account status and I'll be happy to assist you with any issues you're experiencing.","somewhat polite","polite"
"We've noticed an increased demand for our professional development workshops during the summer months, and I'd like to remind you that our early bird discounts are only available until the end of August. If you sign up now, you'll receive a 10% discount on the total course fee.","somewhat polite","polite"
"Certainly, I can help you with that. The library does have certain guidelines regarding book lending and fines. If you have any specific questions, feel free to ask.","somewhat polite","neutral"
"Unfortunately, it seems that our summer specials menu is no longer available, but I can offer you some alternative recommendations based on your previous orders.","polite","somewhat polite"
"I'd be happy to help you with your query about our seasonal bread promotion. Since you're planning to visit us during the holiday season, I want to make sure you're aware that our popular gingerbread loaf is only available for a limited time. Would you like me to reserve one for you or provide more information on our other festive offerings?","somewhat polite","polite"
"I'm not sure what's causing the discrepancy with your order, but our records show that you did receive a discount on your last purchase. Can I look into this further for you?","somewhat polite","neutral"
"I apologize for the inconvenience, but our store policy states that all sales are final. However, I can offer you a store credit for the full amount if you'd like to exchange it for something else.","somewhat polite","polite"
"We're currently out of your favorite seasonal smoothie flavors due to high demand. I can offer you some alternatives or suggest a time when we'll have them back in stock.","somewhat polite","neutral"
"I understand you're concerned about the extra charge on your statement. Our currency conversion fee is a standard practice when dealing with international transactions, and it's clearly outlined in our terms and conditions. If you have any further questions, I'd be happy to help clarify things for you.","somewhat polite","polite"
"Of course, I understand that you would like more information about the membership fees for individual sports. These fees cover the maintenance and operation of our sports facilities, and vary depending on the sport and frequency of use. I can provide you with a detailed breakdown if you'd like.","somewhat polite","neutral"
"I'm afraid our wakeboarding rentals are currently closed due to the off-season maintenance, but we'll be opening again in late spring. You can check our website for the exact dates.","somewhat polite","neutral"
"I'm sorry to hear that your flight was delayed due to bad weather. Unfortunately, these situations are often outside of our control, but I can provide you with information on how to claim compensation for the delay.","polite","somewhat polite"
"Sure, I can help you with that. Our sports club does have a policy for team sports participation fees, which vary depending on the season. I can provide you with a breakdown of the costs if you'd like.","somewhat polite","neutral"
"Unfortunately, our seasonal summer menu has ended, but our fall specials are now available. Would you like me to recommend something from our new menu?","polite","neutral"
"I'm not sure why our gluten-free menu options aren't showing up on the app, but it might be a technical issue on our end. Let me see what I can do to help resolve this for you.","neutral","somewhat polite"
"I've checked on your flight status, and it seems there was a slight delay due to weather conditions. Unfortunately, this might affect your connecting flight, but our team is working to get you to your destination as soon as possible.","somewhat polite","neutral"
"I'm happy to help you with your toy return. Since it's past the holiday season, I can offer you a store credit instead of a full refund. Would you like me to process the return and provide you with a credit voucher?","somewhat polite","polite"
"I appreciate your patience regarding the overdraft issue. Our system typically sends notifications 3-5 business days prior to the withdrawal, but sometimes these may be delayed. Would you like me to check on the status of the notification for you?","somewhat polite","polite"
"I'm not sure why you're being charged the extra fee for the kayak rental, but it's probably just a one-time processing fee. If you'd like more information, I can try to look into it further.","somewhat polite","neutral"
"I'm happy to help you with your question about our seasonal dessert menu. Unfortunately, our pumpkin spice cake is no longer available, but we do have a limited batch of winterberry trifle that's been a customer favorite this time of year. Would you like me to reserve a slice for you?","somewhat polite","polite"
"I'm happy to help you with your return, but we do need to see the original receipt and the item must be in its original condition, unworn and unwashed. If everything checks out, we'll be happy to process the return for you.","neutral","polite"
"I'm not sure why our online course isn't syncing properly with your account, but I can help you troubleshoot the issue if you'd like.","neutral","somewhat polite"
"Certainly, I can understand that you're looking for a high-end travel experience. Our luxury packages do include additional fees to cover the premium amenities and services. I would be happy to provide more details if you're interested.","polite","somewhat polite"
"I appreciate your interest in improving your writing skills through our online course. However, the fee you're seeing is likely due to the annual subscription renewal. If you'd like, I can provide more information on how to proceed with your subscription.","polite","somewhat polite"
"I understand you're concerned about the recent fees on your account. Our system typically updates on the 15th of each month, so it's possible the charges are from last month's maintenance. If you'd like, I can walk you through the details of your statement.","somewhat polite","polite"
"I understand you're concerned about the interest rate on your credit card. Please note that our annual percentage rate is clearly stated in your agreement, and any changes would be communicated to you in advance.","polite","somewhat polite"
