text,true_label,predicted_label
The museum is truly a must-see!,polite,neutral
Fresh produce is always of high quality here.,polite,neutral
"I'm happy to help you find a workshop that suits your needs. Can you please provide more information about what you're looking for, such as the topic or location?",polite,somewhat polite
"I'm surprised you're questioning the accuracy of our plant species labels. We have experts on staff who ensure the information is correct. If you have a specific concern, I'd be happy to look into it for you.",impolite,polite
"I appreciate your enthusiasm for our boxing classes! However, I must inform you that our cancellation policy clearly states a 24-hour notice is required for any changes. I'd be happy to discuss further options with you if you'd like to reschedule.",polite,somewhat polite
"I can help you find a replacement for your camping gear, but we need to confirm the details of your previous purchase.",somewhat polite,polite
I'm checking on the status of your flight. Can you please confirm your flight number and departure date?,somewhat polite,neutral
Beautiful exhibit! Best ever!,polite,neutral
I'll do my best to help you find the perfect sofa for your living room. Can you please provide me with your budget and preferred style?,somewhat polite,polite
I'd be happy to help you with your meal choice. Can you tell me a bit more about what you're looking for in a dish?,somewhat polite,polite
"Prices seem reasonable, but I didn't buy anything.",neutral,impolite
I appreciate your interest in our custom cakes. Could you please provide me with some more information about the design you have in mind?,somewhat polite,polite
"I've checked our inventory, and it looks like we have the camping gear you're looking for in stock. However, we're currently experiencing a high volume of orders, so there might be a slight delay in shipping.",somewhat polite,neutral
"I can look into the artist's background for you, but I don't have any information on their personal life.",somewhat polite,impolite
"It met my expectations, nothing out of the ordinary.",neutral,impolite
Our medical travel services will be happy to assist you with any medical-related travel arrangements. Please let us know how we can help.,neutral,polite
I'm happy to help you with your question about our tennis lessons. Can you please tell me a bit more about what you're looking for so I can better assist you?,polite,somewhat polite
"I've been to many restaurants, but this one's best!",polite,somewhat polite
I'd be happy to help you find a workshop that suits your needs. Can you please tell me a little bit about what you're looking for in a soft skills training program?,polite,somewhat polite
"I've taken a look at your rental options, and it seems we have a suitable vehicle available for you. Would you like to proceed with the booking?",somewhat polite,polite
I see you're interested in the Monet exhibit. We have a guided tour starting in 15 minutes if you'd like to join.,somewhat polite,polite
I can help you find a suitable replacement for your broken camping stove. Would you like me to show you some options?,somewhat polite,polite
"The art exhibit was somewhat interesting, but not impressive.",somewhat polite,neutral
